Timestamp,Teilbereich der Ausbildung,Unterkategorie des Teilbereichs,Fachbereich,Fachbereich,Fachbereich,Fachbereich,Fachbereich,Unterkategorie des Fachbereichs,Fachbereich,Fachbereich,Fachbereich,Unterkategorie des Fachbereichs,Fachbereich,Unterkategorie des Fachbereichs,Kommentar,Fachbegriff,Inhalt,Kommentar,Definition,Erläuterung,Praxisbeispiel aus der Wirtschaft,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage 1,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Antwortmöglichkeit 1.3,Antwortmöglichkeit 1.4,Antwortmöglichkeit 1.5,Begründung 1.1 (bitte hier immer die richtige Antwort),Begründung 1.2,Begründung 1.3,Begründung 1.4,Begründung 1.5,Skizze,Beispiel-Rechnung ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Lösung),Antwortmöglichkeit 1.2 ,Antwortmöglichkeit 1.3,Antwortmöglichkeit 1.4,Antwortmöglichkeit 1.5,Begründung 1.1 (bitte hier immer die richtige Antwort),Begründung 1.2,Begründung 1.3,Begründung 1.4,Begründung 1.5,Frage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung der Reihenfolge,Lernfrage,Skizze,Antwortmöglichkeit 1.1 (bitte richtige Wahl),Antwortmöglichkeit 1.2 (bitte richtige Wahl),"Antwortmöglichkeit 1.3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Antwortmöglichkeit 1.4,Antwortmöglichkeit 1.5,Begründung 1.1,Begründung 1.2,Begründung 1.3,Begründung 1.4,Begründung 1.5,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Leere Tabelle,Fragestellung,Lösung (ergänzte Tabelle),Begründung
17/01/2020 22:20:29,In Ausbildung und Beruf orientieren,Ausbildung in einem Industrieunternehmen,,,,,,,,,,,,,,Elterngeld,Artikel/Definition/Beispiel,,Lohnerstatzleitstung,"- Für Eltern die ihr Kind selbst betreuen und nicht mehr als 30h die Woche arbeiten
- Laufzeit: 12 Monate bei Beteiligung beider Elternteile, 14 Monate bei bei Alleinerziehenden
- Höhe: 67% des wegfallenden Nettoeinkommens (mind. 300€, max. 1800€)",,Elternzeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 22:25:08,In Ausbildung und Beruf orientieren,Ausbildung in einem Industrieunternehmen,,,,,,,,,,,,,,Elternzeit,Artikel/Definition/Beispiel,,Berufsfreiezeit zur Betreuung des Kindes,"- Länge: bis zum drittem Geburtstag des Kindes
- Mit Zustimmung des Arbeitgebers kann eine Verschiebung von bis zu 12 Monaten auf spätere Zeit (z.B. 1. Schuljahr) verschoben werden
- Während der Elternzeit ist Teilzeitarbeit möglich",,Mutterschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 18:21:41,In Ausbildung und Beruf orientieren,Mitwirkungs- und Mitbestimmungsrechte,,,,,,,,,,,,,,Betriebsrat,Artikel/Definition/Beispiel,,Arbeitnehmervertretung in Betrieben,"- in Betrieben mit mindestens 5 ständigen wahlberechtigten Arbeitnehmern von denen 3 wählbar sind (§1 BetrVG)muss es einen Betriebsrat geben
- wahlberechtigt sind volljährigen Arbeitnehmer
- wählbar sind alle Wahlberechtigten, die mindestens 6 Monate  im Betrieb sind
- Aufgaben sind Informations-, Anhörungs- und Beratungsrechte, Widerspruchsrechte, Mitbestimmungsrechte und Unterrichtung in wirtschaftliche Angelegenheiten
- gewählt wird alle 4 Jahre neu
","Beispiele zu den Aufgaben sind u.a. die Mitbestimmung von Um- und Erweiterungsbauten, Widerspruch bei Kündigung und generelle Vetorechte. Er kann also Entscheidungen des Arbeitgebers zuerst blockieren und bei nicht Einigung an eine Einigungsstelle übergeben. 
Außerdem kann er über Betriebsvereinbarungen mögliche Verhandlungsergebnisse mit dem Arbeitgebern, wie z.B. über Arbeitszeitregelungen oder Überstunden festlegen. ",Jugend- und Auszubildendenvertretung (JAV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 18:35:33,In Ausbildung und Beruf orientieren,Mitwirkungs- und Mitbestimmungsrechte,,,,,,,,,,,,,,Jugend- und Auszubildendenvertretung (JAV),Artikel/Definition/Beispiel,,Interessenvertretung der jugendlichen Arbeitnehmer und Auszubildenden bei Betriebsrat,"- Wahlberechtigte sind alle Arbeitnehmer unter 18, sowie alle Auszubildenden unter 25
- Wählbar sind alle Arbeitnehmer unter 25
- Wiederwahl: alle 2 Jahre","Die Aufgaben sind unter anderem: die Vertretung der Anliegen der jugendlichen Arbeitnehmer vor dem Betriebsrat (z.B. Ausflüge), Weitergabe von Anregungen und Beschwerden an den Betriebsrat, sowie die Überwachung der Einhaltung von Vorschriften und Vereinbarungen zu Gunsten der Jugendlichen.",Betriebsrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 18:55:09,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Einzelunternehmung,Artikel/Definition/Beispiel,,Einzelunternehmung (eingetragener Kaufmann),"- Geschäftsführung: Inhaber
- Haftung: Inhaber unbeschränkt

",Kiosk ,OHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 19:17:39,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Offene Handelsgesellschaft (OHG),Artikel/Definition/Beispiel,,OHG,"- Haftung: unmittelbar, solidarisch und unbeschränkt mit dem Privatvermögen
- Geschäftsführung: jeder Gesellschafter ist zur Geschäftsführung verpflichtet und bemächtigt (für aber z.B. Grundstückskäufe und Änderungen des Gesellschaftsvertrages ist der Beschluss aller Gesellschafter notwendig)
- Gewinnverteilung: Die Einlagen der Gesellschafter werden mit 4% des verzinst, bei nicht ausreichenden Gewinnen wird der Prozentsatz verringert, bei einem höheren Gewinn wird der Rest nach Köpfen verteilt
-Verlustverteilung: Aufteilung nach Köpfen (Abänderungen im Gesellschaftsvertrag möglich)
- Auflösung: durch Gesellschaftsbeschluss, Kündigung eines Gesellschafters oder Tod, wenn im Vertrag keine Weiterführung vermerkt wurde
","Die Einzelunternehmung wächst langsam und für mehr Kapitalkraft werden ein oder mehrer neue Gesellschafter aufgenommen.
Vorteile: - hohe Sicherheit bei Kreditgebern durch Solidarhaftung
- Zusammenschluss von Personen mit ergänzenden Kenntnissen
Nachteile: - Risiko der Haftung für den Gesellschafter",Kommanditgesellschaft (KG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 21:23:28,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Kommanditgesellschaft,Artikel/Definition/Beispiel,,Kommanditgesellschaft (KG),"- Geschäftsführung: obliegt dem Komplementären (durch Gesellschaftsvertrag kann den Kommanditisten jedoch ein Mitspracherecht eingeräumt werden)
- Gewinnverteilung: Ausschüttung 4% des Kapitalanteils vom Gewinn, Rest nach ""angemessenen"" Verhältnissen
- Verlustverteilung: im ""angemessenem"" Verhältnis
- Haftung: Vollhafter (Komplementär) mit seinen Geschäfts- und Privatvermögen, Teilhafter (Kommanditist) mit seiner Einlage


",,Aktiengesellschaft (AG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 21:38:21,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Aktiengesellschaft (AG),Artikel/Definition/Beispiel,,Kapitalgesellschaft,"- Gründung: mindestens 1 Person, Gesellschaftsvertrag muss notariell beurkundet werden, mindestens 50.000€ Grundkapital (Summe aller Nennbeträge der Aktien), Anmeldung zur Eintragung im Handelsregister (erst damit wird die Rechtsfähigkeit erlangt)
- Organe: Aufsichtsrat, Vorstand und Hauptversammlung
- Gewinnverteilung: Ausschüttung von Dividenden oder Erhöhung der Rücklagen
- Verlustverteilung: keine Ausschüttung von Dividenden bis Verlust abgedeckt ist
Haftung: auf das Gesellschaftsvermögen beschränkt, keine persönliche Haftung der Anteilseigner (Aktionäre)
",,Kapitalgesellschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 21:44:19,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Kapitalgesellschaften,Artikel/Definition/Beispiel,,Juristische Person mit eigener Rechtspersönlichkeit,Anders wie bei den Personengesellschaften liegen Kapitaleigentum und Unternehmensführung nicht in der selben Hand. Das Mitwirkungsrecht der Kapitalgeber beruht sich auf das Stimmrecht in den Versammlungen. Allerdings beruht ihr Verlust auch nur auf der geleisteten Einlage.,,AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 21:51:40,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Hauptversammlung (AG),Artikel/Definition/Beispiel,,"Regelmäßige, einmal im Jahr,  einberufene Versammlung der Aktionäre","Für die Beschlüsse der Hauptversammlung gilt die einfache Stimmenmehrheit. Besondere Beschlüsse (z.B. Satzungsänderungen) müssen mit der qualifizierten Mehrheit von 75% des vertretenen Grundkapitals abgestimmt werden. Ein Aktionär kann sein Stimmrecht auch durch einen Bevollmächtigten vertreten lassen. Da viele Aktien in Depots hinterlegt sind, übernimmt diese Aufgabe oft die Bank. ",,Aufsichtsrat (AG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 22:21:15,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Aufsichtsrat (AG) ,Artikel/Definition/Beispiel,,"Natürliche Personen, die den Vorstand überwachen, bestellen und abrufen","Der Aufsichtsrat einer AG wird von der Hauptversammlung für 4 Jahre gewählt. Es dürfen nur Personen gewählt werden, welche weder leitende Angestellte der AG, noch in dem Vorstand der AG sind. Zwei Drittel des Aufsichtsrates müssen aus Arbeitgebervertretern und ein Drittel aus Arbeitnehmervertretern bestehen (Drittelbeteiligungsprinzip).  
Der Aufsichtsrat hat Einsicht in die Büchern und Geschäftsunterlagen. Außerdem erhält er mindestens vier mal pro Jahr Berichte über die aktuelle Lage des Unternehmens. Dazu zähen unter anderem Umsatzzahlen, allgemeine Geschäftslage, beabsichtigte Geschäftspolitik, Jahresabschluss und Vorschläge zur Gewinnverteilung. Über diese Berichte ist die Hauptversammlung zu unterrichten. ",,Vorstand (AG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 22:34:40,In Ausbildung und Beruf orientieren,Rechtsformen von Unternehmen,,,,,,,,,,,,,,Vorstand (AG),Artikel/Definition/Beispiel,,Geschäftsführung der AG,"Der Vorstand besteht aus einen oder mehr Personen, die auf die Dauer von maximal 5 Jahren vom Aufsichtsrat bestellt werden. Sie dürfen keine Aufsichtsratsmitglieder sein, müssen allerdings auch keine Aktionäre sein. Ihm obliegt die Geschäftsführung, bei dem er keine Anweisungen des Aufsichtsrates oder der Hauptversammlung gebunden ist. ",,Aktiengesellschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 12:11:28,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Pflichten der Auszubildenden,Artikel/Definition/Beispiel,,"Pflichten, die ein Auszubildender während der Ausbildung erfüllen muss","Ein Auszubildender hat die Pflichten:
- Sorgfaltspflicht 
- Berufsschulpflicht
- Befolgungspflicht
- Pflicht zur Führung eines schriftlichen Ausbildungsnachweises
- Verschwiegenheitspflicht","- Sorgfaltspflicht -> Aufgaben sorfgältig und bemüht ausführen
- Berufsschulpflicht -> In die Schule gehen und an Klausuren teilnehmen
- Befolgungspflicht -> Den Anweisungen der Ausbildungsstätte folgen
- Pflicht zur Führung eines schriftlichen Ausbildungsnachweises -> Berichtsheft führen
- Verschwiegenheitspflicht -> Betriebliche Geheimnisse und Informationen bewahren",Rechte Auszubildende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 12:21:22,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Rechte eines Auszubildenden,Artikel/Definition/Beispiel,,"Rechte, die einem Auszubildenden in der Ausbildung zu stehen ","Ein Auszubildender hat das Recht auf:
- eine einwandfreie Ausbildung 
- eine angemessene Arbeit
- die Zahlung einer Vergütung
- Urlaubsgewährung
- eine Zeugnis
- die Entgeltfortzahlung 
","- eine einwandfreie Ausbildung -> Vermittlung der Fertigkeiten und Kenntnissen, die zur Erreichung des Ausbildungszieles erforderlich sind
- eine angemessene Arbeit -> Vermeidung sittlicher und körperlicher Schäden
- die Zahlung einer Vergütung -> Muss ein Gehalt erhalten
- Urlaubsgewährung -> § 19 ArbSchG regelt die Anzahl der Tage
- eine Zeugnis -> Zeugnis über die erbrachte Leistung
- die Entgeltfortzahlung -> auch bei Feiertagen und Krankheit bis zu sechs Wochen","Arbeitsschutzgesetz, Pflichten der Auszubildenden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 12:34:39,Werteströme und Werte erfassen und dokumentieren,,,"Inventur, Inventar, Bilanz",,,,,,,,,,,,Inventur,Artikel/Definition/Beispiel,,Mengen- und wertmäßige Erfassung und Bewertung aller Vermögens- und Schuldengegenständen,"Es werden alle Vermögens- und Schuldengegenstände mit Hilfe der körperlichen Inventur oder mit der Buchinventur erfasst. 
Die Inventur ist das Verfahren und ist die Grundlage für das Inventar, welches die erfassten Werte wiederspiegelt.
","In einem Unternehmen werden alle Vorräte gezählt und bewertet. So weiß das Unternehmen, wie viel Wert in seinem Unternehmen zum Beispiel die Vorräte haben.","Inventar, Arten der Inventur, Durchführung Inventur, Bilanz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 12:42:04,Werteströme und Werte erfassen und dokumentieren,,,"Inventur, Inventar, Bilanz",,,,,,,,,,,,Durchführung Inventur ,Artikel/Definition/Beispiel,,Die Durchführung einer Inevntur muss zu bestimmten Zeitpunkten geschehen.,"Die Inventur muss bei einer Gründung, Auflösung, Veräußerung oder Übernahme eines Unternehmens durchgeführt werden. Zudem muss am Bilanzstichtag, also zum Schluss des Geschäftsjahres eine Inventur erfolgen.","Wenn Timo sein Unternehmen gründen möchte, dann muss er zuerst alles erfassen und bewerten, was er mit in sein Unternehmen bringt. Demnach weiß er später, welche Gegenstände hinzugekommen und welche weggegangen sind.","Inventur, Arten der Inventur, Inventurverfahren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 12:44:34,Werteströme und Werte erfassen und dokumentieren,,,"Inventur, Inventar, Bilanz",,,,,,,,,,,,Körperliche Inventur ,Artikel/Definition/Beispiel,,mengen- und wertmäßige Bestandsaufnahme,"Die körperliche Inventur bedeutet, dass man die Gegenstände erfasst, in dem man zählt, mißt und wiegt.",Guido hat ein Möbelunternehmen und muss zum Bilanzstichtag alle Schrauben zählen.,"Inventurverfahren, Inventar, Bilanz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 12:48:15,Werteströme und Werte erfassen und dokumentieren,,,"Inventur, Inventar, Bilanz",,,,,,,,,,,,Buchinventur,Artikel/Definition/Beispiel,,wertmäßige Bestandsaufnahme aufgrund von Aufzeichnungen und Belegen,"Alle Vermögens- und Schuldenwerte, die nicht körperlich erfasst werden können, müssen mit der Buchinventur erfasst werden.",Forderungen und Verbindlichkeiten eines Unternehmens kann man körperlich nicht erfassen. Dewegen werden diese mit Hilfe der Buchinventur erfasst.,"Bilanz, Körperliche Inventur, Inventar ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
