Timestamp,Teilbereich der Ausbildung,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Fachbereich,Kommentar,Fachbegriff,Inhalt,Definition,Erläuterung,Praxisbeispiel,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Antwort),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung,Beispiel-Rechnung ,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Lösung),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte richtige Wahl),Begründung 1,Antwortmöglichkeit 2 (bitte richtige Wahl),Begründung 2,"Antwortmöglichkeit 3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Skizze,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Kommentar
01/02/2020 14:01:01,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Intervallabhängige Instandsetzung ,Artikel/Definition/Beispiel,"Unter einer intervallabhängigen Instandsetzung versteht man eine vorher geplante Instandsetzung, die immer nach einem gewissen Intervall durchgeführt wird. ",Hierbei wird der Abnutzungsvorrat nicht komplett aufgebraucht und verhindert somit einen Ausfall oder eine Störung.,Der Zahnriemen eines Autos wird entweder nach 120000km oder nach 5 Jahren getauscht.,"Zustandsabhängige Instandsetzung
Störungsbedingte Instandsetzung
Abnutzungsvorrat ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:08:43,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Zustandsbedingte Instandsetzung ,Artikel/Definition/Beispiel,"Unter einer zustandsbedingten Instandsetzung versteht man eine Instandsetzung, die durchgeführt wird, wenn der Zustand eines Bauteils die Funktion nicht mehr gewährleistet.","Vor der zustandsbedingten Instandsetzung wird immer eine Inspektion durchgeführt, um den IST-Zustand des Bauteils festzustellen.","Bei einer Inspektion wird festgestellt, dass die Bremsklötze eines Zugwagens nur noch 6mm dick sind und somit getauscht werden müssen.","Intervallabhängige Instandsetzung
Störungsbedingte Instandsetzung
Abnutzungsvorrat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:14:22,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Abnutzungsvorrat,Artikel/Definition/Beispiel,"Jedes Bauteil, das verschleißen kann hat eine Abnutzungsvorrat. Ist das Teil neu liegt dieser bei 100%. Ist das Teil in Benutzung verbraucht sich dieser Vorrat immer weiter und erreicht irgendwann seine Abnutzungsgrenze. Spätestens dann sollte das Teil ausgetauscht werden.",,,"Verschleiß
Störungsbedingte Instandsetzung 
Intervallabhängige Instandsetzung 
Zustandsbedingte Instandsetzung 
Vorbeugende Instandsetzung ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:19:42,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Instandhaltungskosten,Artikel/Definition/Beispiel,Die Instandhaltungskosten setzen sich zusammen aus Instandsetzungskosten + Wartungskosten + Inspektionskosten + Kosten bei Verbesserung.,"Instandhaltungskosten basieren oft auf Erfahrungswerten, da besonders bei der störungsbedingten Instandsetzung häufig unerwarte Kosten entstehen können.",,"Störungsbedingte Instandsetzung
Zustandsabhängige Instandsetzung
Intervallabhängige Instandsetzung
Vorbeugende Instandsetzung
Produktionsausfallkosten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:28:25,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Ishikawa-Diagramm,Artikel/Definition/Beispiel,"Es werden Ursachen gesucht, die für den Fehler oder eine Störung verantwortlich sind. Diese Ursachen können Menschen, Maschine, Umwelt, Management, Material, Methode oder Messtechnik sein. Es wird auch Ursache-Wirkungs-Diagramm oder Fischgräten-Diagramm genannt.",,Beim Management lief z.B. die Planung falsch. Beim Material kann Verschleiß die Ursache sein.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:31:37,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Produktionsausfallkosten,Artikel/Definition/Beispiel,Produktionsausfallkosten = Maschinenstundensatz • Stillstandzeit,"Die tatsächlichen Ausfallkosten können nur schwer ermittelt werden, diese Formel kommt dem aber sehr nah. ",,Instandhaltungkosten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:42:35,Instandsetzen von technischen Systemen,,,,,,,,,Maschinentechnik 9,,,,,,,,,,Riemenschlupf,Artikel/Definition/Beispiel,Riemenschlupf ist das Abweichen der Geschwindigkeiten mit dem Riemen und dem Laufflächen der Riemenscheiben.,"Es wird unterschieden in Dehnschlupf und Gleitschlupf. Beim Dehnschlupf erzeugen entstehende Kräfte im Riemen eine Spannung, wodurch der Riemen gedehnt wird. Dabei entsteht eine Relativbewegung des Riemens zu den Laufflächen der Riemenscheiben. Dieser Schlupf bewirkt, dass das jeweils treibende Element etwas schneller ist als das angetriebene Element. Der Dehnschlupf ist nicht vermeidbar. 
Bei größeren Kräften kann zwischen Riemen und Riemenscheibe eine Gleitbewegung entstehen, der Gleitschlupf. Dieser sollte vermieden werden, da er zerstörend auf den Riemen wirkt. Dies kann z.B. durch Erhöhung der Vorspannkräfte erfolgen ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:47:54,Instandsetzen von technischen Systemen,,,,,,,,,Werkstofftechnik 9,,,,,,,,,,Verschleiß,Artikel/Definition/Beispiel,Unter Verschleiß versteht man den Materialverlust aus der Oberfläche eines Bauteils durch langen häufigen Gebrauch.,"Er kann durch schleifende, rollende, schlagende, kratzende, chemische oder thermische Beanspruchung entstehen. Man kann den Begriff auch mit Abnutzung vergleichen.",Durch häufige Benutzung eines Getriebes nutzen die Zähne der Zahnräder immer mehr ab. ,"Alterung
Korrosion
Tribologie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:52:09,Instandsetzen von technischen Systemen,,,,,,,,,Werkstofftechnik 9,,,,,,,,,,Tribologie,Artikel/Definition/Beispiel,"Unter Tribologie versteht man den Zusammenhang zwischen Verschleiß, Reibung und Schmierung.",Die Ursache von Verschleiß ist überwiegend Reibung. Die Reibung kann durch geeignete Schmierung verringert werden.,,"Verschleiß
Verbrauchsschmierung
Lebensdauerschmierung
Umlaufschmierung
Einzelschmierung
Tauchschmierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 14:57:31,Instandsetzen von technischen Systemen,,,,,,,,,Werkstofftechnik 9,,,,,,,,,,Alterung,Artikel/Definition/Beispiel,"Unter Alterung versteht man chemische Prozesse mit Werkstoffen, die nach einer gewissen Zeit auftreten.","Während bei metallischen Werkstoffen der Begriff Korrosion verwendet wird, wird z.B. bei Kunststoffen oder Kühschmierstoffen der Begriff Alterung verwendet. ","Verfärbungen, Versprödung an Kunststoffen. Verharzung bei Kühlschmierstoffen.","Korrosion
Verschleiß",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 15:01:45,Instandsetzen von technischen Systemen,,,,,,,,,Werkstofftechnik 9,,,,,,,,,,Korrosion,Artikel/Definition/Beispiel,"Unter Korrosion versteht man eine chemische Reaktion eines Werkstoffs mit seiner Umgebung, die eine messbare Veränderung des Werkstoffs bewirkt und zu einer Beeinträchtigung der Funktion eines Bauteils oder System führen kann. ",,Bei Rost reagiert das Eisen mit Sauerstoff und es entsteht Eisenoxid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:25:44,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Spanfläche,Artikel/Definition/Beispiel,"Eine Fläche eines Schneidkeils, über die der Span während der Bearbeitung abläuft.","Die Spanfläche ist eine Fläche des Schneidkeils, wo während der Bearbeitung der Span ablaufen kann. ",,Spanwinkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:28:55,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Freifläche ,Artikel/Definition/Beispiel,"Eine Fläche des Schneidkeils, die der neu entstandenen Werkstück-Fläche zugekehrt ist.",,,Freiwinkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:31:32,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Schneidkeil,Artikel/Definition/Beispiel,"Ein Schneidkeil wird von der Spanfläche, Haupt- und Nebenfreifläche gebildet.","Der Schneidkeil ist das Objekt, was für die spanende Bearbeitung zuständig ist.",,Keilwinkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:38:04,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Keilwinkel,Artikel/Definition/Beispiel,"Der Winkel, der sich zwischen Spanfläche und Freifläche ergibt. ","Je nach dem zu bearbeitenden Werkstoff verändert sich die Größe des Keilwinkel. Je kleiner der Winkel ist, desto leichter dringt die Schneide in den Werkstoff ein. Beim Bearbeiten von Werkstoffen mit höhere Festigkeit muss der Winkel groß genug sein, sodass die Schneide nicht weg bricht. ",,Schneidkeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:45:19,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Spanwinkel,Artikel/Definition/Beispiel,"Der Winkel, der zwischen der Spanfläche und einer Senkrechten zur Bearbeitungsfläche ist.","Der Spanwinkel beeinflusst die Spanbildung. Bei weichen Werkstoffen wird vorzüglich ein großer Spanwinkel gewählt. Der Spanwinkel kann sowohl positiv und negativ sein. Bei größeren positiven Winkeln bilden sich lange Späne, ein negativer Winkel führt zu einem schnellen Spanbruch. ",,Spanfläche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:48:52,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Freiwinkel,Artikel/Definition/Beispiel,Ein Winkel der sich durch die Freifläche und der bearbeiteten Fläche bildet. ,"Der Freiwinkel ist notwendig, um Reibung Werkzeug und Werkstück zu vermindern. Freiwinkel, Keilwinkel und Spanwinkel ergeben immer 90 Grad. ",,Freifläche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:52:04,Instandsetzen von technischen Systemen,,,,,,,,,Maschinentechnik 9,,,,,,,,,,Verbrauchsschmierung,Artikel/Definition/Beispiel,Je nach Verbrauch wird neuer Schmierstoff in einem System zugeführt.,In gewissen Systemen gelangt Schmierstoff an die Bauteile und wird dort verbraucht und muss erneuert werden. ,"Auffüllen von Getriebeöl
Einfetten von Führungsbahnen an einer Drehmaschine ","Lebensdauerschmierung
Umlaufschmierung
Einzelschmierung
Tauchschmierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:56:29,Instandsetzen von technischen Systemen,,,,,,,,,Maschinentechnik 9,,,,,,,,,,Lebensdauerschmierung,Artikel/Definition/Beispiel,Unter Lebensdauerschmierung versteht man das einmalige Schmieren einer Reibstelle. Bis zum Ende der Benutzung wird der Schmierstoff weder aufgefüllt noch erneuert.,Die Schmierung bleibt sozusagen über die ganze Lebensdauer des Bauteils erhalten. Diese Schmierung wird oft bei Wälzlagern angewandt.,Einfetten eines geschlossenen Wälzlagers,"Verbrauchsschmierung
Umlaufschmierung
Einzelschmierung
Tauchschmierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 20:58:33,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Trennen,Artikel/Definition/Beispiel,"Ein Fertigungsverfahren, in dem etwas von einem Werkstück getrennt wird.","Das Trennen ist ein Fertigungsverfahren, was man in vier Gruppen einteilen kann:  Zerteilen, Spanen, Abtragen und Zerlegen. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 21:00:23,Instandsetzen von technischen Systemen,,,,,,,,,Maschinentechnik 9,,,,,,,,,,Umlaufschmierung,Artikel/Definition/Beispiel,"Unter Umlaufschmierung versteht man ein geschlossenes Kreislaufsystem, in dem das Öl immer wieder im Umlauf an die Bauteile gelangt und schmiert.",,"In einer hydraulischen Anlage gelangt das Öl durch den Betrieb immer wieder an alle Bauteile und über Filter zurück in den Tank, wo man es wiederverwenden kann. ","Verbrauchsschmierung
Lebensdauerschmierung
Einzelschmierung
Tauchschmierung ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 21:03:06,Fertigen von Bauelementen mit handgeführten Werkzeugen,Fertigungstechnik 1,,,,,,,,,,,,,,,,,,Zahnteilung ,Artikel/Definition/Beispiel,Der Abstand der Zahnspitzen von einem Sägeblatt. ,Meistens wird die Zahnteilung in Anzahl Zähne pro Zoll angegeben. ,,Trennen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 21:06:48,Instandsetzen von technischen Systemen,,,,,,,,,Maschinentechnik 9,,,,,,,,,,Einzelschmierung,Artikel/Definition/Beispiel,"Die Einzelschmierung verwendet man, wenn nur eine zu schmierende Stelle vorliegt.","Es wird unterschieden in manueller, halbautomaticher und automatischer Einzelschmierung.","manuell: mit einer Fettpresse
halbautomatisch: Tropföler
automatisch: Tauchschmierung bei Getrieben","Verbrauchsschmierung
Lebensdauerschmierung
Umlaufschmierung
Tauchschmierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 21:09:05,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Prüfen,Artikel/Definition/Beispiel,"Prüfen bedeutet, inwieweit eine Anforderung eines Prüfobjektes erfüllt worden ist. ",Prüfen kann man in zwei Hauptgruppen einteilen: subjektives Prüfen und objektives Prüfen. ,,"Subjektives Prüfen
Objektives Prüfen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 21:16:46,Instandsetzen von technischen Systemen,,,,,,,,,Maschinentechnik 9,,,,,,,,,,Tauchschmierung,Artikel/Definition/Beispiel,Die zu schmierenden Teile werden in Öl getaucht und im Betrieb des Systems gelangt das Öl auch an andere Bauteile.,"Diese Schmierung findet vor allem bei wenig belasteten Getrieben statt. Beim Füllen mit dem Öl muss darauf geachtet werden, dass nicht zu viel oder zu wenig Öl reingegeben wird. ","Die eingetauchten Bauteile im Getriebe befördern das Öl im Betrieb an die höher gelegenen Bauteile, die nicht in Öl getaucht sind und schmieren diese mit. ","Verbrauchsschmierung
Lebensdauerschmierung
Einzelschmierung 
Umlaufschmierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 21:20:34,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Messunsicherheit,Artikel/Definition/Beispiel,"Eine Zahlenwertangabe, die besagt wie genau ein Messwert angegeben werden kann. ",Die Messunsicherheit wird verwendet um heraus zufinden ob ein Messmittel die Messmittelfähigkeit besitzt. Meistens darf die Messunsicherheit eines Messgeräts nur 10% der Toleranz beim dem zumessenden Objekt betragen. ,"Bei einer Messschraube ist der Skalenteilungswert 0,01, dann beträgt die Messunsicherheit ca. 10 µm.",Skalenteilungswert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
