Timestamp,Teilbereich der Ausbildung,Unterkategorie des Teilbereichs,Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Fachbereichs,Kommentar,Fachbegriff,Inhalt,Kommentar,Definition,Erläuterung,Praxisbeispiel aus der Wirtschaft,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Antwort),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Begründung 1.2,Antwortmöglichkeit 1.3,Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Frage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung der Reihenfolge,Skizze,Beispiel-Rechnung ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Lösung),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Begründung 1.2,Antwortmöglichkeit 1.3,Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Lernfrage,Skizze,Antwortmöglichkeit 1.1 (bitte richtige Wahl),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2 (bitte richtige Wahl),Begründung 1.2 (bitte hier immer die richtige Antwort),"Antwortmöglichkeit 1.3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Leere Tabelle,Fragestellung,Lösung (ergänzte Tabelle),Begründung,Skizze
30/01/2020 09:39:21,Aufträge kundenorientiert bearbeiten,,Rechtsfähigkeit,,,,,,,,,,,,,,,,,,,,,,,,Arten der rechtsfähigen Personen ,Zuordnungsaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natürliche Person ,Der vier jährige Jakob,Juristische Person des öffentlichen Rechts,Die gesetzliche Krankenkasse: SCHNELL GESUND WERDEN (SGW) ,Juristische Person des Privaten Rechts ,Die Kapitalgesellschaft: Reichtum ,Juristische Person des öffentlichen Rechts,Die Landesversicherungsanstalt Bayern ,Juristische Person des privaten Rechts,TSV Stuttgart (e.V.),"Natürliche Person: 
- Alle natürlichen Personen (Menschen) sind rechtsfähig 
- Rechtsfähigkeit ab Geburt bis zum Tod 


Juristische Person:
Eine juristische Person ist Grundsätzlich ab der Eintragung in ein öffentliches Registers rechtsfähig. Die Rechtsfähigkeit endet mit der Löschung aus dem Register, aber auch hier muss man zwischen dem öffentlichen und dem privaten Recht unterscheiden.

des öffentlichen Rechts:
- Bund, Länder, Kreise, Gemeinden 
- Körperschaften 
- Berufsgenossenschaften 
- IHK
- gesetzliche Krankenkassen 
- Landesversicherungsanstalten 

des privaten Rechts:
- Kapitalgesellschaften 
- Stiftungen 
- eingetragene Vereine (e.V.)",,,,,,,,,,
30/01/2020 13:09:31,Aufträge kundenorientiert bearbeiten,,Geschäftsfähigkeit,,,,,,,,,,,,,,,,,,,,,,,,Geschäftsunfähigkeit ,Artikel/Definition/Beispiel,,"Die Fähigkeit, rechtsgeschäftliche Willenserklärungen abzugeben.","Personenkreis: 
- Kinder bis zum vollendeten 7. Lebensjahr
- behinderte bzw. dauerhaft geisteskranke 
- Wegen Geisteskrankheit vom Gericht für bestimmte Geschäfte als geschäftsunfähige erklärte Personen 

Rechtsfolge: 
- Willenserklärung bzw. Rechtsgeschäfte ist nichtig 

Besonderheiten:
- Botengänge sind möglich, jedoch wird die Willenserklärung einer Geschäftsfähigen Person überwacht ",,Beschränkte Geschäftsfähigkeit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 13:09:34,Aufträge kundenorientiert bearbeiten,,Rechtsfähigkeit,,,,,,,,,,,,,,,,,,,,,,,,Geschäftsunfähigkeit ,Mehrfachwahlaufgabe (Multiple Choice),,,,,,,,Wer ist Geschäftsunfähig?,Ein 9 jähriges Kind ,"Nein, ab dem vollendeten 7. Lebensjahr ist man beschränkt Geschäftsfähig ",Ein 86 jähriger dementer Mann,"Ja, da Demenz eine Geisteskrankheit ist",Ein Rollstuhlfahrer ,"Nein, da es sich nicht um eine geistige Krankheit handelt ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 12:05:47,Den Ausbildungsbetrieb als Groß- und Außenhandelsunternehmen präsentieren,"Rechtsformen (KG, GmbH)",,,,,,,,,,,,,,,,,,,,,,,,,xyz,Artikel/Definition/Beispiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2020 14:19:03,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,ABC-Analyse,,,,,,,,,,,,,,,,,,,,ABC-Analyse,Artikel/Definition/Beispiel,,"Ein betriebswirtschaftliches Analyseverfahren bei dem Güter nach Klassen (A,B oder C) sortiert werden ","Ablauf:
1. Wert jeder Warengruppe berechnen 
2. Warengruppen dem Wert absteigend sortieren 
3. Prozentualen Wertanteil je Warengruppe am Gesamtwert berechnen 
4. Einteilung in 3 Klassen (A-, B-, C-Güter)","Eine Bäckerei möchte ihre Produkte nach ihren Umsätzen in Kategorien einteilen. Die Produkte, die am umsatzstärksten waren sind A-Güter, die mit mittlerem Umsatz die B-Güter und die mit dem wenigsten Umsatz sind C-Güter",Güter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2020 14:26:05,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,ABC-Analyse,,,,,,,,,,,,,,,,,,,,A Güter,Artikel/Definition/Beispiel,,"Meist wenige Artikelarten, die jedoch den überwiegenden Teil des Einkaufswertes repräsentieren","Sie haben großen Einfluß auf die Wirtschaftlichkeit des Beschaffungswesens
   Folge: Beschaffungspolitik insbesondere auf A-Güter konzentrieren
- Lagerbestand gering halten (hohe Kapitalbindung)
- Intensive Bemühung um günstige Preise, Liefer- und Zahlungsbedingungen 
- Exakte Lagerführung
- Exakte Termin-, Qualität-, Rechnungs- und Bestandskontrollen","Wenn eine Bäckerei den meisten Umsatz mit ihren Brezeln macht, werden sie sich bemühen diese immer vorrätig zu haben, den Prozess der Beschaffung und die Qualität der Brezeln optimal zu kontrollieren.","ABC-Analyse, Güter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2020 14:31:41,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,ABC-Analyse,,,,,,,,,,,,,,,,,,,,B-Güter,Artikel/Definition/Beispiel,,mittelwertige Güter,bilden Brücke zwischen A- & C-Gütern,"Wenn eine Großhandels GmbH Produkte mit mittlerem Umsatz hat, werden sie sich weniger auf die Qualität der Produkte konzentrieren sondern hauptsächliche auf die Verteilung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2020 14:36:00,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,ABC-Analyse,,,,,,,,,,,,,,,,,,,,C-Güter,Artikel/Definition/Beispiel,,Viele gleichwertige Artikelsorten die nur einen kleinen Teil des Einkaufswertes repräsentieren,"geringer Einfluss auf die Wirtschaftlichkeit des Beschaffungswesens
   Folge: Intensive Beschäftigung mit C-Gütern ist unwirtschaftlich
- Beschaffungsaktivitäten klein halten
- großzügige Lagerhaltung (geringe Kapitalbindung)
- wenige Kontrollen","Die Großhandels GmbH hat eine Sorte Brot als C-Gut identifiziert. Folglich beschäftigen sie sich weniger mit dieser Sorte Brot, z.B. kontrollieren weniger die Qualität und Produktion.",ABC-Analyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2020 14:50:22,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,ABC-Analyse,,,,,,,,,,,,,,,,,,,,A-Güter,Zuordnungsaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Güter,"Meist wenig Artikelarten, die jedoch den überwiegenden Teil des Einkaufswertes repräsentieren",B-Güter,"mittelwertige Güter, bei denen nicht so viel Wert auf Produktion und Qualität gelegt wird, sondern hauptsächlich auf die Verteilung geachtet wird.",C-Güter,"Viele geringwertige Artikelsorten, die nur einen kleinen Teil des Einkaufswertes Repräsentieren",,,,,,,,,,,,,,,
09/02/2020 13:29:12,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,Mengen- und Zeitplanung,,,,,,,,,,,,,,,,,,,,Mengenplanung,Artikel/Definition/Beispiel,,"Die Mengenplanung hat das Ziel sicherzustellen, dass das Unternehmen nicht zu hohe Vorräte hat die unnötige Kosten verursachen und gleichzeitig die Lieferfähigkeit zu gewährleisten.","Unterscheidung:
Bedarfsmengen: Von Abteilungen angeforderte Mengen innerhalb einer bestimmten Periode
Bestellmenge: jeweils tatsächlich bestellte Menge
Optimale Bestellmenge: Menge, bei der die Summe aus Lager- und Bestellkosten am geringsten ist","Die Großhandelsgesellschaft mbH möchte eine Mengenplanung zu einem ihrer Produkte ( z.B. Nudeln) durchführen. Dafür müssen sie die Bestellmenge, die Bestellkosten, den Lagerbestand, den Lagerwert und die Lagerkosten berechnen um so die gesamten Beschaffungskosten zu erhalten.",,"Tabellarische Form?
Rechenwege?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 13:43:37,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,Mengen- und Zeitplanung,,,,,,,,,,,,,,,,,,,,Mengenplanung,Zuordnungsaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bestellmenge berechnen,Gesamtbedarf : Anzahl der Bestellungen,Bestellkosten in € berechnen ,Bestellkosten x Bestellhäufigkeit,durchschnittlichen Lagerbestand berechnen ,Bestellmenge : 2,Lagerwert bzw. Lagerbestand in € berechnen ,durchschnittlicher Lagerbestand x Einkauf,Lagerkosten bzw. Lagerhaltungskosten berechnen ,Lagerbestand in € x Lagerkostensatz,Gesamt bzw. Beschaffungskosten = Lagerhaltungskosten + Bestellkosten ,,,,,,,,,,
09/02/2020 14:05:06,"Beschaffungsprozesse planen, steuern und durchführen",,,,,,Mengen- und Zeitplanung,,,,,,,,,,,,,,,,,,,,Mengenplanung,Rechenaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ein Unternehmen möchte die Lagerkosten für eines ihrer Produkte ermitteln. Aus ihren Unterlagen können sie verschiedenen Daten herauslesen, die für ihre Rechnung hilfreich seien können.
Gesamtbedarf: 600
Anzahl der Bestellungen: 3
Bestellmenge: 200
Bestellkosten (einmalig): 80€
Lagerbestand: 100
Lagerkostensatz: 12%
Lagerwert: 3000 €","Lagerbestand in € x Lagerkostensatz = 3000€ x 0,12 = 360€",Die Formel zur Berechnung der Lagerkosten ist: Lagerbestand in € x Lagerkostensatz,Gesamtbedarf : Anzahl der Bestellungen = 600 : 3 = 200,"Das ist die Formel für die Bestellmenge. Wenn Kosten berechnet werden, muss man darauf achten, dass das Ergebnis auch eine Währung beinhaltet.",Bestellkosten (einmalig) x Bestellhäufigkeit = 80€ x 3 = 240€,Das ist die Formel für die gesamten Bestellkosten in €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
