Timestamp,Teilbereich der Ausbildung,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Fachbereich,Fachbegriff,Inhalt,Fachbegriff,Definition,Erläuterung,Praxisbeispiel,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage,Antwortmöglichkeit 1 (bitte hier immer die richtige Antwort),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung,Beispielrechnung,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Lösung),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte richtige Wahl),Begründung 1,Antwortmöglichkeit 2 (bitte richtige Wahl),Begründung 2,"Antwortmöglichkeit 3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Skizze,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Skizze (Leere Tabelle),Fragestellung,Lösung (ergänzte Tabelle),Begründung,Kommentar
28/01/2020 13:50:24,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Arbeitszeitmodelle,,,,,,,,Rechtliche Rahmenbedingungen,Artikel/Definition/Beispiel,Rechtliche Rahmenbedingung: Arbeitszeitgesetz (ArbZG),"Das Arbeitszeitgesetz legt fest, unter welchen Bedingungen wann und wie lange Arbeitnehmer/-innen arbeiten dürfen. Es stellt den Gesundheitsschutz der Beschäftigten sicher sowie die Einhaltung der gesetzlichen Pausen.","Konkrete Beispiele:
Die tägliche Arbeitszeit beträgt grundsätzlich 8 Stunden, nach Beendigung der täglichen Arbeitszeit hat der Arbeitnehmer Anspruch auf eine ununterbrochene Ruhepause von 11 Stunden.
Die tägliche Arbeitszeit kann auf 10 Stunden ausgedehnt werden, wenn sie im Durchschnitt von 6 Monaten 8 Stunden nicht überschreitet.
Die Ruhepause muss bei einer Arbeitszeit zwischen 6 und 9 Stunden 30 Minuten betragen, bei einer Arbeitszeit von über 9 Stunden muss sie 45 Minuten betragen.","Max M. befindet ist fest angestellt bei der Hoffman KG. Zusätzlich hat er einen Nebenjob, den er nach der Arbeit ausführen möchte. Max M. arbeitet täglich von 8 Uhr bis 16:30 Uhr und möchte danach noch von 18 Uhr bis 22 Uhr in seinem Nebenjob arbeiten. Dies ist gesetzlich verboten, da die ununterbrochene Ruhezeit von 11 Stunden nicht eingehalten wird. Wenn er am nächsten Tag wieder um 8 Uhr bei der Hoffmann KG arbeiten möchte, darf er nur bis 21 Uhr seinen Nebenjob ausführen.",Arbeitszeitmodelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 13:58:47,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Arbeitszeitmodelle,,,,,,,,Verschiedene Arbeitszeitmodelle,Artikel/Definition/Beispiel,Arbeitszeitmodelle,Unter einem Arbeitszeitmodell versteht man die Organisation eines reibungslosen Arbeitsablaufs. Dadurch soll die Verteilung der Arbeitszeit geregelt werden.,"Es gibt verschiedene Arbeitszeitmodelle:
- Gleitarbeitszeit: Frei geregelte Arbeitszeit in einem gewissen Rahmen (feste Kernstunden, Arbeitsanfang und -ende jedoch flexibel)
- Vertrauenarbeitszeit: Der Mitarbeiter legt seine Arbeitszeit eigenverantwortlich fest und wird nicht durch das Unternehmen gemessen.
- Schichtarbeit: Die betriebliche Arbeitszeit wird auf Schichten aufgeteilt, z. B. Früh- und Spätschicht.","Max M. arbeitet jeden Tag 8 Stunden, ihm ist es jedoch freigestellt, wann genau er anfängt zu arbeiten. Manchmal fängt um 8 Uhr an, manchmal erst um 9. Das ist Gleitarbeitszeit.",,Ich halte Aufgaben nicht für sinnvoll bzw. nötig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 16:10:21,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehalt und Lohn,,,,,,,,Lohn,Artikel/Definition/Beispiel,Lohn,Lohn ist eine Form der Vergütung für die Arbeitsleistung des Arbeitnehmers und wird vom Arbeitgeber gezahlt.,"In der Regel wird Lohn an ""Arbeiter"" ausgezahlt. Der Lohn richtet sich nach der tatsächlich geleisteten Arbeit und kann deshalb von Monat zu Monat variieren. Die geleistete Arbeit kann nach Stück, Stunden oder Akkord berechnet werden. Im Vertrag oder Tarifvertrag wird festgelegt, ob Lohn oder Gehalt gezahlt wird. ",Die Hoffmann KG ist ein produzierendes Gewerbe. Die dort arbeitenden Mitarbeiter erhalten Stundenlohn. Arbeiter Max M. hat im Januar 120 Stunden in der Hoffmann KG gearbeitet und erhält pro Stunde 12  €. Die Lohnsumme beträgt demnach für Januar 1.440 €.,"Gehalt, Lohn- und Gehaltsabrechnung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 16:23:08,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehalt und Lohn,,,,,,,,Gehalt,Artikel/Definition/Beispiel,Gehalt,Gehalt ist eine Form der Vergütung für die Arbeitsleistung des Arbeitnehmers und wird vom Arbeitgeber gezahlt.,"Gehalt wird in der Regel Angestellten bezahlt, wie z. B. Bürokaufleuten. Anders als beim Lohn, ist das Gehalt ein monatlich fest vereinbartes Entgelt, das nicht abhängig von der geleisteten Arbeit ist. Überstunden werden also nicht wie beim Lohn ausgezahlt, sondern auf ein Gleitzeitkonto gutgeschrieben.","Nina J. arbeitet bei der Hoffmann KG im Büro. Ihr Gehalt ist laut Vertrag auf 2.200 € festgesetzt. Egal ob sie im Urlaub war oder in einer Woche weniger gearbeitet hat, ihr Gehalt ist jeden Monat gleich.","Lohn, Lohn- und Gehaltsabrechnung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 16:32:52,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehalt und Lohn,,,,,,,,Gehalt,Artikel/Definition/Beispiel,Festgehalt,Vor- und Nachteile von festem Gehalt,"Vorteile:
- Einfache Berechnung des Bruttoverdienstes
- Auf Qualität kann Rücksicht genommen werden
- festes Einkommen, mit dem man monatlich rechnen kann

Nachteile:
- Arbeitsüberwachung  und verstärkte Kontrollen sind erforderlich
wenig Anreiz für die Mitarbeiter, die Leistung  zu steigern
- führt bei Mitarbeitern mit überdurchschnittlicher Arbeitsleistung zu Unzufriedenheit",,,"Zusatz zu dem Teil von Gehalt davor, allerdings halte ich es nicht für nötig, eine Aufgabe dazu zu stellen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 16:45:13,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehaltsabrechnung,,,,,,,,Gehaltsabrechnung,Artikel/Definition/Beispiel,Lohn- und Gehaltsabrechnung,"Die Lohn- und Gehaltsabrechnung ist der ""Beleg"" und die Aufstellung, den der Arbeitnehmer bei der Auszahlung seines Lohns oder seines Gehalts erhält.","Auf der Lohn- und Gehaltsabrechnung sind alle Positionen monatlich aufgeschlüsselt. Sie beinhaltet z. B. Abrechnungsdetails wie:
- Einkommenssteuer
- Sozialversicherungsbeiträge
- Rentenbeiträge
- Gewerkschaftsbeiträge",,"Lohn, Gehalt, Lohnsteuerklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 16:56:01,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehaltsabrechnung,,,,,,,,Lohnsteuerklassen,Artikel/Definition/Beispiel,Lohnsteuerklassen,"Die Steuerklasse des Arbeitnehmers bestimmt die Höhe der steuerlichen Abzüge. Sie reguliert den Lohnsteuerabzug, den Solidaritätszuschlag und die Kirchensteuer, falls der Arbeitnehmer in der Kirche ist.","Der abzuziehende Betrag für die jeweilige Position ist in der Lohnsteuertabelle zu ermittelbar und richtet sich nach der Steuerklasse und den Kinderfreibeträgen.
Steuerklasse 1: ledig, verwitwet, geschieden oder getrennt lebend
Steuerklasse 2: alleinerziehend, getrennt lebend
Steuerklasse 3: verheiratet (höheres Einkommen), Ehepartner in Steuerklasse 5 oder Ehepartner nicht berufstätig
Steuerklasse 4: verheiratet, beide berufstätig mit ähnlichem Einkommen
Steuerklasse 5: verheiratet (niedrigeres Einkommen), Ehepartner in Steuerklasse 3
Steuerklasse 6: wenn dem Arbeitgeber die Lohnsteuerkarte nicht vorgelegt wurde oder es einen Zweit- oder Nebenjob gibt",Max M. ist 30 Jahre alt und ledig. Er hat keine Kinder. Leider hat er vergessen seine Lohnsteuerkarte beim Arbeitgeber vorzulegen. Er ist in Steuerklasse 6.,Lohn- und Gehaltsabrechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 16:58:03,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehaltsabrechnung,,,,,,,,Lohn- und Gehaltsabrechnung,Zuordnungsaufgabe,Lohn- und Gehaltsabrechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steuerklasse 1,"ledig, verwitwet, geschieden oder getrennt lebend",Steuerklasse 6,wenn dem Arbeitgeber die Lohnsteuerkarte nicht vorgelegt wurde oder es einen Zweit- oder Nebenjob gibt,,Option 1,Steuerklasse 3,"verheiratet (höheres Einkommen), ",Steuerklasse 4,"verheiratet, beide berufstätig mit ähnlichem Einkommen",,,,,,,,,,,
28/01/2020 17:10:27,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Gehaltsabrechnung,,,,,,,,Aufbau der Lohn- und Gehaltsabrechnung,Artikel/Definition/Beispiel,Aufbau der Lohn- und Gehaltsabrechnung,Das monatliche Ausstellen einer Abrechnung gehört zu den Pflichten jedes Arbeitgebers. Daher sind alle Abrechnungen gleich aufgebaut. Die Beträge der vier Versicherungen werden auf Grundlage des steuer- und sozialversicherungspflichtiges Gehalts ermittelt.,"Bruttogehalt (z. B. laut Tarifvertrag)
+ VL-Zulage (Zuschuss des Arbeitgebers zu den vermögenswirksamen Leistungen)
= steuer- und sozialversicherungspflichtiges Gehalt
- Lohnsteuer (Ermittlung mit Lohnsteuertabelle)
- Solidaritätszuschlag (5,5 % der Lohnsteuer)
- Kirchensteuer (8 % oder 9 %, je nach Bundesland)
- Rentenversicherung (Beitragssatz 18,7 %, Arbeitnehmeranteil 9,35 %)
- Arbeitslosenversicherung (Beitragssatz 3 %, Arbeitnehmeranteil 1,5 %)
- Krankenversicherung (Beitragssatz 14,6 %, Arbeitnehmeranteil 7,3 %)
- Pflegeversicherung (Beitragssatz 2,35 %, Arbeitnehmeranteil 1,175 %, eventuell Kinderlosenzuschlag  von 0,25 % bei über 25 Jährigen)
= Nettogehalt
- vermögenswirksame Leistungen
= Überweisungsbetrag",,"Lohn- und Gehaltsabrechnung, Steuerklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 15:26:51,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Kündigung,,,,,,,,Kündigung,Artikel/Definition/Beispiel,Kündigung,"Eine Kündigung ist eine einseitige, empfangsbedürftige Willenserklärung, die dem Arbeitnehmer in schriftlicher Form zugegangen sein muss.","Eine Kündigung ist eine Erklärung des Arbeitgebers, mit der der Arbeitsvertrag beendet werden soll. Sie muss immer schriftlich erfolgen und vom Arbeitnehmer zugegangen sein. Sie muss in der Regel keine Begründung enthalten, weshalb das Arbeitsverhältnis beendet wird.","Max M. wird von der Hoffmann KG gekündigt. Seine Kündigung gilt als zugegangen/empfangen, wenn sie in seinen ""Machtbereich"" gelangt, sodass er die Möglichkeit zur Kenntnisnahme hat. ","Kündigungsschutzgesetz, Willenserklärung, Arten der Kündigung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 15:35:08,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Kündigung,,,,,,,,Willenserklärung,Artikel/Definition/Beispiel,Willenserklärung,"Eine Willenserklärung ist eine Willensäußerung mit dem Ziel, rechtlich etwas zu erreichen. Sie kann mündlich oder schriftlich erfolgen.","Es gibt zwei Arten von Willenserklärungen:
Empfangsbedürftige Willenserklärungen werden von einer Partei abgegeben und müssen der anderen Partei zugestellt worden sein, um rechtsgültig zu sein. Das kann in Anwesenheit des Empfängers geschehen oder in Abwesenheit, z. B. per Post.

Für die Wirksamkeit von nicht empfangsbedürftigen Willenserklärungen reicht es aus, die Willenserklärung abzugeben ohne das sie jemand zur Kenntnis nimmt.","Empfangsbedürftig: Kündigungen
Nicht empfangsbedürftig: Testament",Kündigung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 15:39:19,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Kündigung,,,,,,,,Unterlagen bei einer Kündigung,Artikel/Definition/Beispiel,Auszuhändigende Unterlagen,Mitarbeitern sind beim Ausscheiden aus dem Unternehmen verschiedene Unterlagen auszuhändigen.,"- ihre Lohnsteuerkarte
- den Sozialversicherungsnachweis
- einen Nachweis über Bezüge und abgeführte Beiträge zur Sozialversicherung
- Arbeitsbescheinigung zur Vorlage beim Arbeitsamt
- Urlaubsbescheinigung über den bereits genommenen Urlaub
- Arbeitszeugnis ",,"Kündigungsschutzgesetz, Arten des Arbeitszeugnisses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
